title,tmdb_id,box_office_mojo_id,metacritic_id
The Devil Wears Prada 2,1314481,tt33612209,movie/the-devil-wears-prada-2
Hokum,1430077,tt35672862,movie/hokum
The Sheep Detectives,1301421,tt32565993,movie/the-sheep-detectives
Billie Eilish - Hit Me Hard and Soft: The Tour,1515899,tt39018643,movie/billie-eilish---hit-me-hard-and-soft-the-tour-live-in-3d
Mortal Kombat II,931285,tt17490712,movie/mortal-kombat-ii
Is God Is,1380316,tt34379307,movie/is-god-is
Obsession,1339713,tt37287335,movie/obsession-2025
In the Grey,1122573,tt27681354,movie/in-the-grey
I Love Boosters,1227877,tt30827810,movie/i-love-boosters
Passenger,1368314,tt33763941,movie/passenger
Star Wars: The Mandalorian and Grogu,1228710,tt30825738,movie/star-wars-the-mandalorian-and-grogu
Pressure,1318413,tt32547691,movie/pressure
The Breadwinner,1440050,tt34459219,movie/the-breadwinner-2026
Tuner,1340206,tt33296751,movie/tuner
Backrooms,1083381,tt26657236,movie/backrooms
Masters of the Universe,454639,tt0427340,movie/masters-of-the-universe-2026
Power Ballad,1284016,tt32267691,movie/power-ballad/
Scary Movie,1273221,tt32093575,movie/scary-movie-6
Disclosure Day,1275779,tt15047880,movie/disclosure-day
Stop! That! Train!,1541560,tt38128726,movie/stop-that-train
Toy Story 5,1084244,tt29355505,movie/toy-story-5
The Death of Robin Hood,1284465,tt32273171,movie/the-death-of-robin-hood
Girls Like Girls,1397485,tt32432654,movie/girls-like-girls
Supergirl,1081003,tt8814476,movie/supergirl-2026
Jackass: Best and Last,1612018,tt39316472,movie/jackass-best-and-last
The Invite,950028,tt14173636,movie/the-invite
Minions & Monsters,1315772,tt32890033,movie/minions-and-monsters
Young Washington,1308767,tt32104007,
Moana,1108427,tt27419466,movie/moana-2026
Gail Daughtry and the Celebrity Sex Pass,1476682,tt36834010,movie/gail-daughtry-and-the-celebrity-sex-pass
The Odyssey,1368337,tt33764258,movie/the-odyssey-2026
Cut Off,1451148,tt36246412,
Evil Dead Burn,1212763,tt31170389,movie/evil-dead-burn
Spider-Man: Brand New Day,969681,tt22084616,movie/spider-man-brand-new-day
Fall 2,1101412,tt31192372,
Ice Cream Man,1477712,tt36893729,movie/ice-cream-man
One Night Only,1433367,tt37853455,movie/one-night-only/
Super Troopers 3,675871,tt8820258,movie/super-troopers-3
The End of Oak Street,1101383,tt27165187,movie/the-end-of-oak-street
PAW Patrol: The Dino Movie,1185806,tt29356163,movie/paw-patrol-the-dino-movie
The Rivals of Amziah King,1124142,tt27706593,movie/the-rivals-of-amziah-king
Insidious: Out of the Further,1291595,tt32393988,movie/insidious-out-of-the-further
Mutiny,1288445,tt32338669,
Spa Weekend,1341138,tt33305867,
Cliffhanger,1120556,tt1441251,
Coyote vs. Acme,1204680,tt1756855,movie/coyote-vs-acme
The Dog Stars,1384216,tt21285562,movie/the-dog-stars
Finding Emily,1339588,tt32499466,movie/finding-emily
Idiots,445466,tt6628920,movie/idiots
